date,source_ip,destination_ip,total_flow_duration,total_forward_packets
2022-12-07,192.168.20.43,52.222.175.220,69795401,3401
2022-12-07,192.168.20.43,52.222.193.55,2899527615,1596
2022-12-07,192.168.20.43,52.27.163.92,134832395,466
2022-12-07,192.168.20.43,52.3.30.207,840102470,110
2022-12-07,192.168.20.43,52.36.138.241,150837037,276
2022-12-07,192.168.20.43,52.37.30.201,51896031,106
2022-12-07,192.168.20.43,52.39.190.49,103075566,138
2022-12-07,192.168.20.43,52.4.194.79,201191783,281
2022-12-07,192.168.20.43,52.44.174.14,769165437,98
2022-12-07,192.168.20.43,52.46.128.39,102382164,10
2022-12-07,192.168.20.43,52.46.129.152,484920,22
2022-12-07,192.168.20.43,52.46.131.184,436882,11
2022-12-07,192.168.20.43,52.46.133.103,161340434,32
2022-12-07,192.168.20.43,52.46.133.115,12397077,18
2022-12-07,192.168.20.43,52.46.136.110,392760,13
2022-12-07,192.168.20.43,52.46.136.68,526119,28
2022-12-07,192.168.20.43,52.46.137.209,532009,32
2022-12-07,192.168.20.43,52.46.137.248,516023,23
2022-12-07,192.168.20.43,52.46.143.123,90486279,11
2022-12-07,192.168.20.43,52.46.145.112,392895,12
2022-12-07,192.168.20.43,52.46.145.205,354358,11
2022-12-07,192.168.20.43,52.46.149.29,101599753,41
2022-12-07,192.168.20.43,52.46.149.57,863259,21
2022-12-07,192.168.20.43,52.46.155.112,431007,10
2022-12-07,192.168.20.43,52.46.155.120,43304494,58
2022-12-07,192.168.20.43,52.46.157.6,61499368,12
2022-12-07,192.168.20.43,52.46.158.193,109857352,11
2022-12-07,192.168.20.43,52.54.152.190,96713276,44
2022-12-07,192.168.20.43,52.6.20.84,97395431,42
2022-12-07,192.168.20.43,52.6.28.164,990497106,126
2022-12-07,192.168.20.43,52.70.101.206,20464428,81
2022-12-07,192.168.20.43,52.72.244.88,193966697,91
2022-12-07,192.168.20.43,52.73.50.224,30595547,179
2022-12-07,192.168.20.43,52.84.174.15,154006,6
2022-12-07,192.168.20.43,52.84.174.45,1885984,6
2022-12-07,192.168.20.43,52.86.20.72,96690621,40
2022-12-07,192.168.20.43,52.94.217.134,519198470,235
2022-12-07,192.168.20.43,52.94.217.61,2538159,14
2022-12-07,192.168.20.43,52.94.218.244,186089999,30
2022-12-07,192.168.20.43,52.94.219.88,793297566,274
2022-12-07,192.168.20.43,52.94.221.55,289205425,159
2022-12-07,192.168.20.43,52.94.224.149,102024488,11
2022-12-07,192.168.20.43,52.94.225.206,710129,22
2022-12-07,192.168.20.43,52.94.225.227,362405,11
2022-12-07,192.168.20.43,52.94.225.56,503783,30
2022-12-07,192.168.20.43,52.94.228.85,4740676,104
2022-12-07,192.168.20.43,52.94.231.169,80514475,11
2022-12-07,192.168.20.43,52.94.231.222,584518,18
2022-12-07,192.168.20.43,52.94.236.45,416938,12
2022-12-07,192.168.20.43,52.95.123.112,196195137,38
2022-12-07,192.168.20.43,52.95.123.17,206522470,66
2022-12-07,192.168.20.43,52.95.124.103,2641747,25
2022-12-07,192.168.20.43,52.95.125.12,175452576,40
2022-12-07,192.168.20.43,52.95.126.126,65162585,53
2022-12-07,192.168.20.43,52.95.127.117,42615840,14
2022-12-07,192.168.20.43,54.159.111.180,8753982,42
2022-12-07,192.168.20.43,54.161.84.13,12153449,79
2022-12-07,192.168.20.43,54.166.101.241,50755643,391
2022-12-07,192.168.20.43,54.166.238.29,770618222,98
2022-12-07,192.168.20.43,54.187.92.102,91920506,144
2022-12-07,192.168.20.43,54.208.87.93,994514648,126
2022-12-07,192.168.20.43,54.208.97.34,985483004,126
2022-12-07,192.168.20.43,54.209.44.8,31613600,300
2022-12-07,192.168.20.43,54.224.213.223,40806480288,1792
2022-12-07,192.168.20.43,54.226.11.35,19173874,143
2022-12-07,192.168.20.43,54.227.225.219,96961064,40
2022-12-07,192.168.20.43,54.235.139.208,772674891,98
2022-12-07,192.168.20.43,54.236.174.203,1093132225,140
2022-12-07,192.168.20.43,54.239.27.88,566606,35
2022-12-07,192.168.20.43,54.239.31.104,71081603,26
2022-12-07,192.168.20.43,54.239.33.155,970265,26
